ruleIds,query,suites,wall_seconds,sarif,returncode
cpp/use-after-free,/home/shafi/.codeql/packages/codeql/cpp-queries/1.5.7/Critical/UseAfterFree.ql,rules/stailor-queries/suites/stailor.qls,49.518905,/media/shafi/Research/STAILOR/sa_outputs/libxml2_62911_vul/timing/0001_UseAfterFree.sarif,0
cpp/static-buffer-overflow,/home/shafi/.codeql/packages/codeql/cpp-queries/1.5.7/Critical/OverflowStatic.ql,rules/stailor-queries/suites/stailor.qls,57.408943,/media/shafi/Research/STAILOR/sa_outputs/libxml2_62911_vul/timing/0002_OverflowStatic.sarif,0
cpp/double-free,/home/shafi/.codeql/packages/codeql/cpp-queries/1.5.7/Critical/DoubleFree.ql,rules/stailor-queries/suites/stailor.qls,19.520636,/media/shafi/Research/STAILOR/sa_outputs/libxml2_62911_vul/timing/0003_DoubleFree.sarif,0
cpp/overflow-buffer,/home/shafi/.codeql/packages/codeql/cpp-queries/1.5.7/Security/CWE/CWE-119/OverflowBuffer.ql,rules/stailor-queries/suites/stailor.qls,11.677679,/media/shafi/Research/STAILOR/sa_outputs/libxml2_62911_vul/timing/0004_OverflowBuffer.sarif,0
cpp/unbounded-write,/home/shafi/.codeql/packages/codeql/cpp-queries/1.5.7/Security/CWE/CWE-120/UnboundedWrite.ql,rules/stailor-queries/suites/stailor.qls,33.403482,/media/shafi/Research/STAILOR/sa_outputs/libxml2_62911_vul/timing/0005_UnboundedWrite.sarif,0
cpp/comparison-with-wider-type,/home/shafi/.codeql/packages/codeql/cpp-queries/1.5.7/Security/CWE/CWE-190/ComparisonWithWiderType.ql,rules/stailor-queries/suites/stailor.qls,11.638436,/media/shafi/Research/STAILOR/sa_outputs/libxml2_62911_vul/timing/0006_ComparisonWithWiderType.sarif,0
cpp/invalid-pointer-deref,/home/shafi/.codeql/packages/codeql/cpp-queries/1.5.7/Security/CWE/CWE-193/InvalidPointerDeref.ql,rules/stailor-queries/suites/stailor.qls,33.840208,/media/shafi/Research/STAILOR/sa_outputs/libxml2_62911_vul/timing/0007_InvalidPointerDeref.sarif,0
cpp/signed-overflow-check,/home/shafi/.codeql/packages/codeql/cpp-queries/1.5.7/Likely Bugs/Arithmetic/SignedOverflowCheck.ql,rules/stailor-queries/suites/stailor.qls,11.790182,/media/shafi/Research/STAILOR/sa_outputs/libxml2_62911_vul/timing/0008_SignedOverflowCheck.sarif,0
cpp/return-stack-allocated-memory,/home/shafi/.codeql/packages/codeql/cpp-queries/1.5.7/Likely Bugs/Memory Management/ReturnStackAllocatedMemory.ql,rules/stailor-queries/suites/stailor.qls,13.387517,/media/shafi/Research/STAILOR/sa_outputs/libxml2_62911_vul/timing/0009_ReturnStackAllocatedMemory.sarif,0
cpp/offset-use-before-range-check,/home/shafi/.codeql/packages/codeql/cpp-queries/1.5.7/Best Practices/Likely Errors/OffsetUseBeforeRangeCheck.ql,rules/stailor-queries/suites/stailor.qls,10.252623,/media/shafi/Research/STAILOR/sa_outputs/libxml2_62911_vul/timing/0010_OffsetUseBeforeRangeCheck.sarif,0
local/cpp/cwe-120-overflow,/media/shafi/Research/STAILOR/rules/stailor-queries/queries/CWE-120_BufferOverflow.ql,rules/stailor-queries/suites/stailor.qls,9.633249,/media/shafi/Research/STAILOR/sa_outputs/libxml2_62911_vul/timing/0011_CWE-120_BufferOverflow.sarif,0
local/cpp/cwe-125-oob-read,/media/shafi/Research/STAILOR/rules/stailor-queries/queries/CWE-125_OutOfBoundsRead.ql,rules/stailor-queries/suites/stailor.qls,8.227532,/media/shafi/Research/STAILOR/sa_outputs/libxml2_62911_vul/timing/0012_CWE-125_OutOfBoundsRead.sarif,0
local/cpp/cwe-125-cursor-lookahead-missing-bytes-check,/media/shafi/Research/STAILOR/rules/stailor-queries/queries/CWE-125_CursorLookaheadRead_MissingRemainingBytesCheck.ql,rules/stailor-queries/suites/stailor.qls,22.232440,/media/shafi/Research/STAILOR/sa_outputs/libxml2_62911_vul/timing/0013_CWE-125_CursorLookaheadRead_MissingRemainingBytesCheck.sarif,0
local/cpp/cwe-787-oob-write,/media/shafi/Research/STAILOR/rules/stailor-queries/queries/CWE-787_OutOfBoundsWrite.ql,rules/stailor-queries/suites/stailor.qls,8.122961,/media/shafi/Research/STAILOR/sa_outputs/libxml2_62911_vul/timing/0014_CWE-787_OutOfBoundsWrite.sarif,0
shafi/cpp/pattern/free-then-deref/intra,/media/shafi/Research/STAILOR/rules/stailor-queries/queries/CWE-416_UseAfterFree_FreeThenDeref.ql,rules/stailor-queries/suites/stailor.qls,19.450489,/media/shafi/Research/STAILOR/sa_outputs/libxml2_62911_vul/timing/0015_CWE-416_UseAfterFree_FreeThenDeref.sarif,0
shafi/cpp/pattern/free-then-use/intra,/media/shafi/Research/STAILOR/rules/stailor-queries/queries/CWE-416_UseAfterFree_FreeThenUse.ql,rules/stailor-queries/suites/stailor.qls,19.591856,/media/shafi/Research/STAILOR/sa_outputs/libxml2_62911_vul/timing/0016_CWE-416_UseAfterFree_FreeThenUse.sarif,0
shafi/cpp/libxml2/CWE-416/DirectFreeArgUseFast,/media/shafi/Research/STAILOR/rules/stailor-queries/queries/CWE-416_UseAfterFree_FreeThenCallArg.ql,rules/stailor-queries/suites/stailor.qls,13.109502,/media/shafi/Research/STAILOR/sa_outputs/libxml2_62911_vul/timing/0017_CWE-416_UseAfterFree_FreeThenCallArg.sarif,0
shafi/cpp/uaf/lookup-remove-use/intra,/media/shafi/Research/STAILOR/rules/stailor-queries/queries/CWE-416_UseAfterFree_LookupRemoveUse.ql,rules/stailor-queries/suites/stailor.qls,38.430581,/media/shafi/Research/STAILOR/sa_outputs/libxml2_62911_vul/timing/0018_CWE-416_UseAfterFree_LookupRemoveUse.sarif,0
shafi/cpp/uaf/free-then-return/intra.min,/media/shafi/Research/STAILOR/rules/stailor-queries/queries/CWE-416_UseAfterFree_FreeThenReturn.ql,rules/stailor-queries/suites/stailor.qls,8.745773,/media/shafi/Research/STAILOR/sa_outputs/libxml2_62911_vul/timing/0019_CWE-416_UseAfterFree_FreeThenReturn.sarif,0
